match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1473440,1,Mumbai Indians,Chennai Super Kings,19,2,DL Chahar,NT Ellis,PVSN Raju,6,0,6,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,19,3,DL Chahar,NT Ellis,PVSN Raju,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,19,4,PVSN Raju,NT Ellis,DL Chahar,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,19,5,DL Chahar,NT Ellis,PVSN Raju,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,19,6,DL Chahar,NT Ellis,PVSN Raju,4,0,4,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,0,1,R Ravindra,TA Boult,RA Tripathi,2,0,2,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,0,2,R Ravindra,TA Boult,RA Tripathi,0,0,0,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,0,3,R Ravindra,TA Boult,RA Tripathi,1,0,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,0,4,RA Tripathi,TA Boult,R Ravindra,1,0,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,0,5,R Ravindra,TA Boult,RA Tripathi,0,1,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,0,6,R Ravindra,TA Boult,RA Tripathi,0,0,0,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,0,7,R Ravindra,TA Boult,RA Tripathi,0,0,0,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,1,1,RA Tripathi,DL Chahar,R Ravindra,1,0,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,1,2,R Ravindra,DL Chahar,RA Tripathi,4,0,4,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,1,3,R Ravindra,DL Chahar,RA Tripathi,1,0,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,1,4,RA Tripathi,DL Chahar,R Ravindra,0,0,0,,1,RA Tripathi,caught,RD Rickelton
1473440,2,Chennai Super Kings,Mumbai Indians,1,5,RD Gaikwad,DL Chahar,R Ravindra,1,0,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,1,6,R Ravindra,DL Chahar,RD Gaikwad,0,0,0,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,2,1,RD Gaikwad,TA Boult,R Ravindra,4,0,4,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,2,2,RD Gaikwad,TA Boult,R Ravindra,4,0,4,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,2,3,RD Gaikwad,TA Boult,R Ravindra,2,0,2,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,2,4,RD Gaikwad,TA Boult,R Ravindra,0,0,0,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,2,5,RD Gaikwad,TA Boult,R Ravindra,1,0,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,2,6,R Ravindra,TA Boult,RD Gaikwad,1,0,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,3,1,R Ravindra,DL Chahar,RD Gaikwad,0,0,0,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,3,2,R Ravindra,DL Chahar,RD Gaikwad,4,0,4,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,3,3,R Ravindra,DL Chahar,RD Gaikwad,1,0,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,3,4,RD Gaikwad,DL Chahar,R Ravindra,6,0,6,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,3,5,RD Gaikwad,DL Chahar,R Ravindra,0,0,0,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,3,6,RD Gaikwad,DL Chahar,R Ravindra,0,0,0,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,4,1,R Ravindra,PVSN Raju,RD Gaikwad,0,1,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,4,2,R Ravindra,PVSN Raju,RD Gaikwad,1,0,1,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,4,3,RD Gaikwad,PVSN Raju,R Ravindra,4,0,4,,0,,,
1473440,2,Chennai Super Kings,Mumbai Indians,4,4,RD Gaikwad,PVSN Raju,R Ravindra,4,0,4,,0,,,
